Base_Name,Drag_Coefficient,Mach,Final_Delta_Pct,Blocks_Run,Converged,Reference_Area,Cell_Count
cone_001_557f6f82_L3.51_R0.53_ffd,0.7041814098262226,2.0,0.044575922229595055,12,True,0.0807443148998603,2028468
cone_002_f7880712_L2.50_R0.57_ffd,0.8972237343491192,2.0,0.036664980472766506,13,True,0.0924707812867542,2539636
cone_003_434ee3cf_L6.73_R1.35_ffd,0.8419343359819207,2.0,0.02457326303352696,16,True,0.5311913055050514,1549365
cone_004_1c128442_L9.66_R1.41_ffd,0.6840454484849539,2.0,0.033066960146535505,14,True,0.5789923371483033,2111332
cone_005_53ff1698_L6.14_R1.03_ffd,0.74934536894678,2.0,0.031161406545427643,14,True,0.30669417140569394,2375940
cone_006_454af528_L8.25_R1.30_ffd,0.7246933550216551,2.0,0.00030915234165869204,15,True,0.49463510936915234,1689640
cone_007_aef90ea9_L4.95_R1.06_ffd,0.8657676502913844,2.0,0.0021195776659597913,15,True,0.3257388557188728,2620341
cone_008_acbd43c4_L4.50_R0.79_ffd,0.7789426533482774,2.0,0.011365936303695636,14,True,0.1804921017873153,1232747
cone_009_4c871cea_L8.22_R1.50_ffd,0.7965832921819026,2.0,0.09642424644220646,18,True,0.6520567814246625,2070611
cone_010_52e47074_L7.87_R1.12_ffd,0.6777228342692425,2.0,0.05098056406777778,14,True,0.36352486398815775,1280908
cone_011_59207955_L4.58_R0.63_ffd,0.6671771201841911,2.0,0.05700192464976316,13,True,0.11589614182521756,815754
cone_012_29f34736_L4.20_R0.66_ffd,0.7238061536182397,2.0,0.04107879818564409,13,True,0.12453630605093306,836966
cone_013_cc4ac1c7_L6.81_R0.89_ffd,0.6352396691649294,2.0,0.06150453817533702,13,True,0.23036099082710276,1835366
cone_014_f5d5f8f7_L4.92_R1.20_ffd,0.9224804740254672,2.0,0.09390959322352586,21,True,0.4171476898991161,3379590
cone_015_f5f645a5_L4.38_R0.82_ffd,0.8066111207389822,2.0,0.012514133867717617,13,True,0.19324595758980748,1309019
cone_016_3509006f_L4.55_R0.90_ffd,0.8340918636546447,2.0,0.013730119486837337,14,True,0.23606875266503757,1592373
cone_017_ea09c4fd_L9.28_R1.23_ffd,0.6440675897051369,2.0,0.0549247654556832,14,True,0.44103304619754324,1707635
cone_018_a34e9bbf_L10.20_R1.29_ffd,0.6190152338273825,2.0,0.07349752738794291,14,True,0.4846744578835087,1954948
cone_019_32cc5cf0_L3.18_R0.73_ffd,0.9071741138564218,2.0,0.0702061420810624,20,True,0.153091748121924,906951
cone_020_e1e15080_L5.95_R0.97_ffd,0.7362001049484985,2.0,0.005095079055824251,13,True,0.2713912560642863,2069456
