Run_ID,Length,Diameter,Fineness_Ratio,STEP_File_Name
001_557f6f82,3.509042891373415,1.0561121560247948,6.645208790288807,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_001_557f6f82_L3.51_R0.53.stp
002_f7880712,2.5025611903186107,1.1302631970940635,4.428280416017723,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_002_f7880712_L2.50_R0.57.stp
003_434ee3cf,6.73064356993844,2.7024377648363247,4.98116453042247,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_003_434ee3cf_L6.73_R1.35.stp
004_1c128442,9.6601300270865,2.8213935694723045,6.84777205960193,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_004_1c128442_L9.66_R1.41.stp
005_53ff1698,6.138557361555564,2.0549614062104435,5.97437727346489,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_005_53ff1698_L6.14_R1.03.stp
006_454af528,8.246756163293579,2.6073235011151397,6.325840395153484,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_006_454af528_L8.25_R1.30.stp
007_aef90ea9,4.946184361446519,2.117723838672917,4.671226975983867,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_007_aef90ea9_L4.95_R1.06.stp
008_acbd43c4,4.504162107627669,1.5772761278215224,5.711317160234534,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_008_acbd43c4_L4.50_R0.79.stp
009_4c871cea,8.216109652979926,2.9936182743895823,5.4890830425968336,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_009_4c871cea_L8.22_R1.50.stp
010_52e47074,7.867473498227278,2.2368335600877938,7.034473765601484,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_010_52e47074_L7.87_R1.12.stp
011_59207955,4.582961603480662,1.2645474031870132,7.248382451982925,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_011_59207955_L4.58_R0.63.stp
012_29f34736,4.198041815628517,1.3106878878677803,6.405860395121019,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_012_29f34736_L4.20_R0.66.stp
013_cc4ac1c7,6.805496910045292,1.7805361292148032,7.644323300585247,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_013_cc4ac1c7_L6.81_R0.89.stp
014_f5d5f8f7,4.918992609665546,2.395619623421277,4.106655799254593,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_014_f5d5f8f7_L4.92_R1.20.stp
015_f5f645a5,4.380401441733584,1.6316951046757544,5.36914210158649,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_015_f5f645a5_L4.38_R0.82.stp
016_3509006f,4.554148306286515,1.8032490267565788,5.051047568818436,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_016_3509006f_L4.55_R0.90.stp
017_ea09c4fd,9.278976023836158,2.462954029396513,7.53483492837237,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_017_ea09c4fd_L9.28_R1.23.stp
018_a34e9bbf,10.203016619211859,2.5810528640915713,7.906088837744838,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_018_a34e9bbf_L10.20_R1.29.stp
019_32cc5cf0,3.1764747334310814,1.4524295073774067,4.374015698932905,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_019_32cc5cf0_L3.18_R0.73.stp
020_e1e15080,5.948495662413431,1.933018600531749,6.1546181301898235,C:\Users\s3nor\Documents\NoseConeProML\vsp_geometry\generated_geometries\cone_020_e1e15080_L5.95_R0.97.stp
